true,corr,mmd,kol,wilc,rdc
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.272,0.0,0.0,0.0,0.334
0,0.31,0.0,0.0,0.0,0.408
1,0.0,0.0,0.0,0.0,0.0
0,0.413,0.0,0.0,0.0,0.004
1,0.0,0.0,0.0,0.0,0.0
0,0.202,0.0,0.0,0.0,0.336
0,0.109,0.0,0.0,0.0,0.068
0,0.396,0.035,0.033,0.045,0.395
0,0.109,0.0,0.0,0.0,0.127
1,0.0,0.0,0.0,0.0,0.0
0,0.023,0.0,0.0,0.0,0.224
0,0.201,0.0,0.0,0.0,0.064
1,0.0,0.0,0.0,0.0,0.0
0,0.48,0.0,0.0,0.0,0.209
0,0.38,0.0,0.001,0.003,0.028
0,0.412,0.014,0.032,0.036,0.668
0,0.264,0.0,0.0,0.0,0.08
0,0.076,0.0,0.0,0.0,0.279
1,0.0,0.0,0.0,0.0,0.0
0,0.335,0.0,0.0,0.0,0.01
0,0.206,0.0,0.0,0.0,0.293
0,0.268,0.0,0.0,0.0,0.046
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.22,0.0,0.0,0.0,0.157
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.485,0.0,0.0,0.0,0.198
0,0.341,0.0,0.0,0.0,0.15
1,0.0,0.002,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.462,0.0,0.0,0.0,0.297
1,0.0,0.0,0.0,0.0,0.0
0,0.168,0.0,0.0,0.009,0.09
0,0.114,0.001,0.001,0.009,0.008
1,0.0,0.001,0.0,0.0,0.0
0,0.052,0.0,0.0,0.0,0.244
0,0.464,0.0,0.0,0.0,0.205
0,0.069,0.0,0.0,0.0,0.079
0,0.153,0.0,0.0,0.0,0.128
1,0.0,0.0,0.0,0.0,0.0
0,0.364,0.0,0.0,0.0,0.196
1,0.0,0.0,0.0,0.429,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.15,0.0,0.0,0.0,0.151
1,0.0,0.0,0.0,0.0,0.0
0,0.04,0.0,0.0,0.0,0.158
0,0.188,0.0,0.0,0.0,0.42
0,0.182,0.0,0.0,0.0,0.313
0,0.108,0.0,0.0,0.0,0.366
0,0.361,0.0,0.0,0.0,0.09
0,0.076,0.0,0.0,0.0,0.134
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.306,0.0,0.0,0.0,0.402
0,0.283,0.0,0.0,0.0,0.036
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.034,0.0,0.0,0.0,0.252
0,0.213,0.0,0.0,0.0,0.24
0,0.393,0.0,0.0,0.0,0.028
0,0.129,0.0,0.0,0.0,0.145
0,0.353,0.0,0.0,0.0,0.032
0,0.279,0.345,0.261,0.399,0.432
0,0.125,0.0,0.0,0.0,0.123
1,0.0,0.0,0.0,0.0,0.0
0,0.027,0.0,0.0,0.0,0.018
1,0.0,0.0,0.0,0.0,0.0
0,0.014,0.0,0.0,0.0,0.167
0,0.468,0.0,0.0,0.0,0.268
0,0.259,0.0,0.0,0.0,0.07
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.05,0.0
0,0.21,0.0,0.0,0.0,0.236
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.036,0.0,0.0,0.0,0.04
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
0,0.215,0.0,0.0,0.0,0.455
0,0.396,0.0,0.0,0.0,0.305
0,0.367,0.0,0.0,0.0,0.275
1,0.0,0.0,0.0,0.122,0.0
0,0.328,0.0,0.0,0.0,0.367
1,0.0,0.0,0.0,0.0,0.0
